表名,字段名
dwd_ft_parameters_dielevel_bblist_eng_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、limit_lower、limit_upper、touch_down、site_num、dut_num、ce_num、lun_num、fab_lot、fab_wafer_no、x_coord、y_coord、bb_count、bb_list、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dielevel_bblist_prod_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、limit_lower、limit_upper、touch_down、site_num、dut_num、ce_num、lun_num、fab_lot、fab_wafer_no、x_coord、y_coord、bb_count、bb_list、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dielevel_rawdata_eng_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、limit_lower、limit_upper、touch_down、site_num、dut_num、ce_num、lun_num、fab_lot、fab_wafer_no、x_coord、y_coord、value、soft_bin、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dielevel_rawdata_prod_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、limit_lower、limit_upper、touch_down、site_num、dut_num、ce_num、lun_num、fab_lot、fab_wafer_no、x_coord、y_coord、value、soft_bin、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dielevel_summary_eng_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、limit_lower、limit_upper、stat_count、stat_mean、stat_stdev、stat_min、stat_q1、stat_q2、stat_q3、stat_max、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dielevel_summary_prod_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、limit_lower、limit_upper、stat_count、stat_mean、stat_stdev、stat_min、stat_q1、stat_q2、stat_q3、stat_max、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dielevel_text_rawdata_eng_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、touch_down、site_num、dut_num、ce_num、lun_num、fab_lot、fab_wafer_no、x_coord、y_coord、text_data、soft_bin、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dielevel_text_rawdata_prod_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、touch_down、site_num、dut_num、ce_num、lun_num、fab_lot、fab_wafer_no、x_coord、y_coord、text_data、soft_bin、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dielevel_text_summary_eng_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、stat_count、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dielevel_text_summary_prod_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、stat_count、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dielevel_wafer_summary_eng_v,lot_no、start_time、device_name、test_step、end_time、fab_lot、fab_wafer_no、parameter_name、limit_lower、limit_upper、stat_count、stat_mean、stat_stdev、stat_min、stat_q1、stat_q2、stat_q3、stat_max、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dielevel_wafer_summary_prod_v,lot_no、start_time、device_name、test_step、end_time、fab_lot、fab_wafer_no、parameter_name、limit_lower、limit_upper、stat_count、stat_mean、stat_stdev、stat_min、stat_q1、stat_q2、stat_q3、stat_max、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dutlevel_rawdata_eng_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、limit_lower、limit_upper、touch_down、site_num、dut_num、value、soft_bin、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dutlevel_rawdata_prod_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、limit_lower、limit_upper、touch_down、site_num、dut_num、value、soft_bin、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dutlevel_summary_eng_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、limit_lower、limit_upper、stat_count、stat_mean、stat_stdev、stat_min、stat_q1、stat_q2、stat_q3、stat_max、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_parameters_dutlevel_summary_prod_v,lot_no、start_time、device_name、test_step、end_time、parameter_name、limit_lower、limit_upper、stat_count、stat_mean、stat_stdev、stat_min、stat_q1、stat_q2、stat_q3、stat_max、filename、source_sysid、extract_time、time_date、product、yas_load_time
dwd_ft_summary_hardbin_eng_v,lot_no、end_time、test_flag、qty_in、qty_out、test_step、hard_bin、unit_count、yield、filename、source_sysid、extract_time、time_date、yas_load_time
dwd_ft_summary_hardbin_mer_eng_v,lot_no、end_time、test_flag、qty_in、qty_out、test_step、hard_bin、unit_count、yield、filename、source_sysid、extract_time、time_date、yas_load_time
dwd_ft_summary_hardbin_mer_prod_v,lot_no、end_time、test_flag、qty_in、qty_out、test_step、hard_bin、unit_count、yield、filename、source_sysid、extract_time、time_date、yas_load_time
dwd_ft_summary_hardbin_prod_v,lot_no、end_time、test_flag、qty_in、qty_out、test_step、hard_bin、unit_count、yield、filename、source_sysid、extract_time、time_date、yas_load_time
dwd_ft_summary_softbin_eng_v,lot_no、end_time、tb_name、soft_bin、hard_bin、unit_count、test_step、qty_in、qty_out、test_flag、filename、source_sysid、extract_time、time_date、yas_load_time
dwd_ft_summary_softbin_mer_eng_v,lot_no、end_time、tb_name、soft_bin、hard_bin、unit_count、test_step、qty_in、qty_out、test_flag、filename、source_sysid、extract_time、time_date、yas_load_time
dwd_ft_summary_softbin_mer_prod_v,lot_no、end_time、tb_name、soft_bin、hard_bin、unit_count、test_step、qty_in、qty_out、test_flag、filename、source_sysid、extract_time、time_date、yas_load_time
dwd_ft_summary_softbin_prod_v,lot_no、end_time、tb_name、soft_bin、hard_bin、unit_count、test_step、qty_in、qty_out、test_flag、filename、source_sysid、extract_time、time_date、yas_load_time
dwd_ft_summary_yield_eng_v,lot_no、start_time、wafer_lot_no、tout_no、ippn、mpn、recipe、tester_no、handler_no、change_kit_id、dsa_no、load_board、test_step、temperature、test_program、trace_code、operator、device_name、qty_in、qty_out、yield、test_flag、end_time、oi_version、vi_version、engineer_mode、subcon、ewo、ti、test_time、filename、source_sysid、extract_time、time_date、yas_load_time
